Complaint Type	Week0	Week1	Week2	Week3	Week4	Week5	Week6	Week7	Week8	Week9	Week10	Week11	Week12	Week13	Week14	Week15	Week16	Week17	Week18	Week19	Week20	Week21	Week22	Week23	Week24	Week25	Week26	Week27	Week28	Week29	Week30	Week31	Week32	Week33	Week34	Week35	Week36	Week37	Week38	Week39	Week40	Week41	Week42	Week43	Week44	Week45	Week46	Week47	Week48	Week49	Week50	Week51	Week52	Week53	Week54	Week55	Week56	Week57	Week58	Week59	Week60	Week61	Week62	Week63	Week64	Week65	Week66	Week67	Week68	Week69	Week70	Week71	Week72	Week73	Week74	Week75	Week76	Week77	Week78	Week79	Week80	Week81	Week82	Week83	Week84	Week85	Week86	Week87	Week88	Week89	Week90	Week91	Week92	Week93	Week94	Week95	Week96	Week97	Week98	Week99	Week100	Week101	Week102	Week103	Week104	Week105	Week106	Week107	Week108	Week109	Week110	Week111	Week112	Week113	Week114	Week115	Week116	Week117	Week118	Week119	Week120	Week121	Week122	Week123	Week124	Week125	Week126	Week127	Week128	Week129	Week130	Week131	Week132	Week133	Week134	Week135	Week136	Week137	Week138	Week139	Week140	Week141	Week142	Week143	Week144	Week145	Week146	Week147	Week148	Week149	Week150	Week151	Week152	Week153	Week154	Week155	Week156	Week157	Week158	Week159	Week160	Week161	Week162	Week163	Week164	Week165	Week166	Week167	Week168	Week169	Week170	Week171	Week172	Week173	Week174	Week175	Week176	Week177	Week178	Week179	Week180	Sum
UNSANITARY CONDITION	0.036	0.034	0.037	0.033	0.032	0.036	0.032	0.029	0.036	0.033	0.029	0.033	0.034	0.035	0.037	0.038	0.035	0.037	0.034	0.04	0.031	0.04	0.037	0.043	0.04	0.045	0.045	0.049	0.049	0.049	0.048	0.051	0.055	0.053	0.048	0.05	0.055	0.052	0.049	0.045	0.05	0.046	0.043	0.045	0.042	0.043	0.039	0.042	0.041	0.041	0.039	0.036	0.037	0.039	0.035	0.028	0.038	0.037	0.03	0.036	0.035	0.034	0.033	0.036	0.038	0.034	0.035	0.033	0.033	0.036	0.03	0.034	0.033	0.037	0.039	0.036	0.036	0.041	0.038	0.046	0.044	0.042	0.051	0.049	0.05	0.05	0.05	0.041	0.049	0.041	0.046	0.041	0.043	0.044	0.041	0.039	0.041	0.034	0.035	0.04	0.037	0.032	0.032	0.034	0.034	0.033	0.036	0.04	0.035	0.035	0.034	0.04	0.037	0.036	0.03	0.031	0.036	0.034	0.033	0.034	0.035	0.033	0.033	0.034	0.036	0.031	0.035	0.035	0.033	0.036	0.036	0.045	0.04	0.042	0.04	0.043	0.046	0.046	0.042	0.037	0.035	0.039	0.042	0.039	0.041	0.038	0.036	0.033	0.035	0.032	0.035	0.033	0.033	0.031	0.033	0.028	0.025	0.029	0.029	0.032	0.031	0.033	0.03	0.031	0.032	0.028	0.034	0.031	0.032	0.032	0.032	0.031	0.031	0.031	0.031	0.028	0.029	0.03	0.03	0.02	0.01	6.745
WATER LEAK	0.02	0.018	0.024	0.02	0.023	0.021	0.019	0.02	0.023	0.021	0.015	0.016	0.017	0.016	0.016	0.019	0.014	0.013	0.013	0.014	0.013	0.018	0.015	0.016	0.016	0.019	0.016	0.019	0.017	0.015	0.016	0.018	0.019	0.017	0.016	0.016	0.02	0.015	0.019	0.022	0.018	0.016	0.018	0.018	0.017	0.016	0.017	0.017	0.015	0.016	0.018	0.016	0.016	0.021	0.018	0.017	0.018	0.016	0.02	0.02	0.018	0.014	0.015	0.014	0.015	0.012	0.012	0.012	0.012	0.012	0.012	0.011	0.012	0.014	0.015	0.013	0.011	0.013	0.015	0.015	0.016	0.016	0.02	0.014	0.019	0.017	0.015	0.014	0.016	0.013	0.014	0.014	0.015	0.014	0.016	0.015	0.015	0.015	0.013	0.02	0.018	0.014	0.017	0.014	0.016	0.018	0.015	0.02	0.016	0.015	0.018	0.016	0.014	0.014	0.015	0.016	0.015	0.022	0.015	0.013	0.015	0.013	0.019	0.017	0.015	0.013	0.012	0.011	0.016	0.015	0.014	0.018	0.016	0.017	0.014	0.016	0.014	0.015	0.013	0.013	0.011	0.013	0.013	0.012	0.013	0.013	0.01	0.017	0.016	0.013	0.014	0.012	0.013	0.011	0.013	0.013	0.014	0.018	0.017	0.015	0.012	0.016	0.017	0.015	0.016	0.023	0.02	0.015	0.016	0.016	0.014	0.025	0.015	0.013	0.011	0.011	0.013	0.011	0.011	0.008	0.004	2.82
Rodent	0.007	0.006	0.01	0.007	0.005	0.007	0.005	0.005	0.007	0.008	0.009	0.009	0.011	0.01	0.011	0.012	0.011	0.012	0.016	0.013	0.012	0.012	0.01	0.01	0.01	0.009	0.012	0.014	0.013	0.011	0.014	0.012	0.013	0.013	0.013	0.017	0.014	0.013	0.013	0.01	0.015	0.012	0.013	0.013	0.011	0.008	0.007	0.008	0.008	0.011	0.007	0.009	0.006	0.007	0.006	0.005	0.009	0.009	0.005	0.008	0.008	0.007	0.011	0.01	0.01	0.01	0.011	0.01	0.012	0.013	0.011	0.013	0.013	0.012	0.013	0.011	0.013	0.012	0.012	0.013	0.012	0.011	0.013	0.014	0.013	0.014	0.014	0.013	0.013	0.015	0.015	0.014	0.011	0.014	0.01	0.009	0.009	0.009	0.008	0.008	0.009	0.008	0.006	0.009	0.008	0.006	0.01	0.01	0.008	0.009	0.011	0.016	0.014	0.009	0.006	0.007	0.01	0.01	0.011	0.012	0.015	0.013	0.014	0.013	0.012	0.013	0.015	0.014	0.013	0.015	0.014	0.017	0.017	0.017	0.018	0.017	0.018	0.016	0.017	0.014	0.014	0.014	0.013	0.013	0.015	0.013	0.012	0.009	0.009	0.007	0.007	0.009	0.009	0.006	0.006	0.006	0.004	0.004	0.007	0.008	0.008	0.008	0.008	0.01	0.009	0.008	0.009	0.008	0.008	0.011	0.01	0.009	0.008	0.01	0.012	0.012	0.01	0.011	0.011	0.009	0.004	1.936
Broken Muni Meter	0.011	0.009	0.011	0.008	0.011	0.008	0.008	0.009	0.013	0.009	0.011	0.011	0.012	0.011	0.011	0.013	0.012	0.009	0.011	0.013	0.013	0.021	0.019	0.019	0.016	0.013	0.009	0.011	0.01	0.011	0.011	0.011	0.01	0.01	0.011	0.008	0.011	0.007	0.008	0.006	0.008	0.008	0.012	0.012	0.014	0.01	0.01	0.01	0.011	0.016	0.014	0.016	0.011	0.017	0.017	0.009	0.014	0.015	0.01	0.016	0.015	0.014	0.019	0.016	0.018	0.014	0.021	0.015	0.011	0.013	0.066	0.012	0.011	0.008	0.01	0.01	0.009	0.009	0.008	0.008	0.008	0.007	0.008	0.01	0.007	0.008	0.008	0.007	0.009	0.008	0.008	0.009	0.009	0.009	0.007	0.007	0.009	0.008	0.007	0.008	0.006	0.006	0.006	0.008	0.006	0.004	0.005	0.004	0.005	0.007	0.008	0.006	0.007	0.005	0.005	0.005	0.007	0.007	0.006	0.006	0.006	0.005	0.006	0.006	0.005	0.005	0.005	0.005	0.005	0.005	0.004	0.005	0.005	0.006	0.004	0.006	0.006	0.005	0.005	0.004	0.005	0.005	0.005	0.004	0.008	0.004	0.005	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.425
ELECTRIC	0.014	0.014	0.014	0.016	0.016	0.014	0.012	0.014	0.015	0.013	0.011	0.013	0.016	0.014	0.013	0.013	0.013	0.013	0.012	0.016	0.013	0.013	0.012	0.015	0.015	0.015	0.015	0.017	0.019	0.016	0.018	0.016	0.02	0.017	0.016	0.016	0.016	0.014	0.015	0.015	0.016	0.015	0.015	0.014	0.014	0.014	0.015	0.016	0.015	0.014	0.014	0.014	0.012	0.014	0.014	0.013	0.013	0.013	0.012	0.013	0.014	0.011	0.012	0.013	0.014	0.011	0.011	0.012	0.01	0.011	0.01	0.011	0.011	0.013	0.012	0.012	0.011	0.012	0.012	0.015	0.016	0.018	0.017	0.015	0.026	0.016	0.016	0.013	0.015	0.012	0.013	0.013	0.013	0.014	0.015	0.013	0.011	0.013	0.013	0.015	0.014	0.014	0.014	0.014	0.014	0.016	0.014	0.013	0.013	0.013	0.016	0.016	0.014	0.012	0.011	0.011	0.012	0.012	0.012	0.011	0.012	0.011	0.011	0.01	0.011	0.008	0.01	0.013	0.011	0.011	0.011	0.012	0.013	0.015	0.012	0.012	0.011	0.014	0.011	0.012	0.009	0.009	0.011	0.011	0.011	0.01	0.009	0.011	0.012	0.01	0.011	0.011	0.01	0.01	0.012	0.011	0.012	0.014	0.011	0.011	0.012	0.012	0.011	0.01	0.01	0.012	0.011	0.01	0.011	0.01	0.01	0.009	0.01	0.008	0.009	0.01	0.009	0.009	0.009	0.006	0.004	2.319
Noise - Street/Sidewalk	0.007	0.003	0.006	0.006	0.004	0.005	0.004	0.003	0.006	0.008	0.008	0.008	0.01	0.02	0.021	0.029	0.021	0.035	0.045	0.033	0.054	0.032	0.04	0.034	0.042	0.04	0.058	0.041	0.039	0.045	0.039	0.045	0.043	0.049	0.046	0.052	0.032	0.043	0.04	0.02	0.028	0.017	0.023	0.023	0.023	0.013	0.013	0.016	0.016	0.023	0.012	0.019	0.009	0.009	0.008	0.005	0.01	0.009	0.004	0.01	0.01	0.015	0.022	0.018	0.019	0.018	0.017	0.039	0.048	0.028	0.035	0.035	0.046	0.061	0.037	0.053	0.061	0.054	0.068	0.045	0.045	0.038	0.034	0.051	0.035	0.04	0.046	0.064	0.047	0.044	0.043	0.034	0.037	0.035	0.017	0.021	0.02	0.015	0.014	0.015	0.012	0.01	0.007	0.015	0.019	0.005	0.013	0.011	0.011	0.009	0.007	0.016	0.023	0.009	0.007	0.01	0.015	0.018	0.035	0.045	0.024	0.051	0.024	0.036	0.05	0.061	0.055	0.059	0.055	0.065	0.088	0.048	0.047	0.042	0.06	0.055	0.057	0.05	0.062	0.063	0.051	0.048	0.052	0.042	0.042	0.036	0.042	0.023	0.021	0.011	0.012	0.015	0.015	0.009	0.009	0.009	0.004	0.002	0.007	0.011	0.012	0.008	0.01	0.018	0.015	0.01	0.01	0.012	0.015	0.017	0.016	0.027	0.023	0.041	0.055	0.032	0.039	0.068	0.044	0.065	0.095	5.272
Noise	0.016	0.016	0.024	0.018	0.017	0.02	0.014	0.015	0.017	0.019	0.023	0.024	0.029	0.032	0.034	0.033	0.035	0.036	0.039	0.039	0.033	0.031	0.036	0.026	0.031	0.032	0.025	0.027	0.025	0.023	0.021	0.023	0.025	0.027	0.029	0.021	0.031	0.038	0.039	0.028	0.04	0.031	0.037	0.04	0.045	0.035	0.03	0.026	0.034	0.036	0.028	0.024	0.016	0.023	0.024	0.014	0.028	0.026	0.018	0.029	0.031	0.032	0.036	0.033	0.032	0.032	0.035	0.038	0.039	0.033	0.034	0.034	0.039	0.03	0.029	0.028	0.027	0.03	0.023	0.027	0.021	0.019	0.02	0.024	0.016	0.023	0.024	0.025	0.029	0.037	0.035	0.035	0.033	0.034	0.028	0.028	0.031	0.029	0.027	0.025	0.03	0.022	0.016	0.017	0.02	0.017	0.028	0.025	0.029	0.025	0.02	0.03	0.032	0.028	0.017	0.022	0.031	0.032	0.038	0.039	0.035	0.037	0.03	0.032	0.033	0.029	0.036	0.026	0.026	0.024	0.02	0.025	0.021	0.021	0.023	0.024	0.025	0.02	0.029	0.025	0.034	0.029	0.029	0.033	0.029	0.033	0.036	0.027	0.031	0.024	0.024	0.022	0.026	0.02	0.019	0.014	0.009	0.009	0.02	0.023	0.026	0.02	0.025	0.029	0.03	0.021	0.025	0.026	0.028	0.03	0.032	0.036	0.036	0.031	0.031	0.035	0.029	0.028	0.035	0.037	0.02	5.0
Sanitation Condition	0.01	0.008	0.013	0.008	0.006	0.008	0.006	0.006	0.008	0.01	0.017	0.013	0.013	0.015	0.016	0.015	0.016	0.017	0.015	0.017	0.017	0.016	0.019	0.019	0.019	0.023	0.025	0.023	0.022	0.024	0.022	0.022	0.024	0.023	0.023	0.022	0.022	0.022	0.02	0.015	0.019	0.014	0.015	0.017	0.018	0.015	0.013	0.014	0.016	0.016	0.016	0.014	0.011	0.014	0.013	0.006	0.014	0.014	0.008	0.014	0.015	0.013	0.013	0.013	0.012	0.012	0.013	0.014	0.015	0.015	0.014	0.018	0.018	0.022	0.024	0.022	0.02	0.023	0.019	0.024	0.022	0.02	0.025	0.025	0.022	0.023	0.024	0.023	0.023	0.023	0.022	0.019	0.021	0.02	0.013	0.014	0.016	0.015	0.012	0.014	0.014	0.012	0.008	0.015	0.014	0.009	0.015	0.014	0.013	0.014	0.008	0.016	0.018	0.012	0.008	0.011	0.017	0.017	0.016	0.018	0.017	0.017	0.017	0.017	0.019	0.019	0.021	0.021	0.022	0.023	0.022	0.026	0.026	0.026	0.024	0.023	0.025	0.024	0.024	0.023	0.023	0.022	0.021	0.021	0.021	0.018	0.02	0.016	0.016	0.012	0.015	0.015	0.016	0.011	0.011	0.013	0.006	0.004	0.014	0.018	0.015	0.013	0.016	0.018	0.017	0.013	0.013	0.014	0.014	0.017	0.017	0.017	0.017	0.018	0.02	0.019	0.018	0.022	0.023	0.022	0.026	3.062
FLOORING/STAIRS	0.012	0.013	0.013	0.01	0.012	0.013	0.012	0.011	0.013	0.012	0.011	0.013	0.013	0.014	0.015	0.014	0.015	0.012	0.013	0.014	0.013	0.013	0.012	0.014	0.012	0.015	0.015	0.014	0.014	0.013	0.013	0.015	0.016	0.015	0.015	0.015	0.016	0.015	0.014	0.015	0.016	0.016	0.016	0.014	0.016	0.018	0.015	0.015	0.014	0.014	0.013	0.009	0.012	0.012	0.013	0.009	0.013	0.013	0.01	0.012	0.012	0.013	0.012	0.014	0.012	0.011	0.012	0.012	0.011	0.012	0.011	0.011	0.012	0.011	0.012	0.011	0.01	0.012	0.01	0.013	0.012	0.011	0.013	0.013	0.013	0.013	0.012	0.01	0.011	0.01	0.012	0.012	0.012	0.013	0.012	0.013	0.011	0.011	0.012	0.012	0.013	0.012	0.011	0.011	0.011	0.012	0.012	0.012	0.012	0.013	0.011	0.014	0.012	0.011	0.01	0.01	0.013	0.012	0.01	0.011	0.012	0.011	0.012	0.011	0.011	0.01	0.011	0.01	0.009	0.009	0.009	0.011	0.01	0.011	0.012	0.012	0.012	0.013	0.012	0.01	0.01	0.01	0.011	0.012	0.01	0.011	0.01	0.009	0.01	0.01	0.01	0.01	0.012	0.011	0.01	0.009	0.008	0.009	0.01	0.01	0.011	0.012	0.01	0.01	0.01	0.008	0.01	0.011	0.011	0.012	0.011	0.011	0.011	0.01	0.009	0.009	0.009	0.007	0.009	0.006	0.003	2.134
Street Condition	0.04	0.032	0.05	0.042	0.051	0.063	0.037	0.056	0.081	0.138	0.171	0.135	0.132	0.112	0.102	0.093	0.096	0.087	0.073	0.071	0.054	0.065	0.068	0.069	0.067	0.065	0.048	0.047	0.05	0.047	0.056	0.059	0.053	0.046	0.046	0.037	0.046	0.041	0.038	0.038	0.04	0.028	0.034	0.032	0.032	0.027	0.028	0.032	0.034	0.041	0.036	0.038	0.032	0.038	0.033	0.023	0.056	0.051	0.028	0.06	0.08	0.082	0.081	0.055	0.046	0.055	0.062	0.053	0.058	0.048	0.053	0.051	0.049	0.045	0.05	0.045	0.047	0.05	0.037	0.04	0.033	0.037	0.043	0.046	0.038	0.038	0.034	0.033	0.037	0.033	0.034	0.034	0.031	0.037	0.027	0.033	0.028	0.03	0.025	0.033	0.038	0.03	0.028	0.033	0.034	0.033	0.045	0.053	0.053	0.047	0.043	0.049	0.056	0.045	0.039	0.059	0.056	0.083	0.08	0.059	0.063	0.064	0.055	0.049	0.051	0.048	0.048	0.046	0.05	0.059	0.044	0.041	0.041	0.038	0.036	0.04	0.037	0.036	0.033	0.031	0.033	0.034	0.029	0.028	0.029	0.029	0.03	0.021	0.021	0.021	0.023	0.026	0.024	0.033	0.034	0.03	0.014	0.015	0.038	0.043	0.046	0.045	0.081	0.085	0.079	0.066	0.073	0.061	0.067	0.053	0.055	0.051	0.056	0.062	0.052	0.052	0.059	0.045	0.053	0.044	0.042	8.851
Sewer	0.013	0.011	0.023	0.02	0.017	0.01	0.008	0.014	0.016	0.016	0.016	0.014	0.015	0.013	0.017	0.02	0.014	0.014	0.013	0.015	0.011	0.037	0.018	0.023	0.017	0.015	0.014	0.023	0.015	0.012	0.023	0.019	0.012	0.015	0.012	0.016	0.021	0.013	0.019	0.019	0.014	0.01	0.016	0.015	0.014	0.009	0.012	0.011	0.011	0.013	0.021	0.015	0.009	0.017	0.01	0.017	0.019	0.025	0.017	0.022	0.017	0.014	0.021	0.017	0.018	0.015	0.016	0.014	0.014	0.015	0.016	0.015	0.013	0.019	0.018	0.013	0.013	0.013	0.015	0.014	0.017	0.025	0.025	0.014	0.013	0.016	0.013	0.015	0.013	0.015	0.012	0.015	0.013	0.011	0.017	0.013	0.01	0.024	0.01	0.024	0.013	0.011	0.01	0.011	0.015	0.011	0.014	0.02	0.011	0.011	0.013	0.012	0.014	0.011	0.012	0.013	0.018	0.03	0.025	0.015	0.019	0.015	0.041	0.02	0.017	0.019	0.014	0.012	0.022	0.021	0.012	0.025	0.013	0.017	0.013	0.019	0.013	0.017	0.012	0.013	0.011	0.011	0.011	0.01	0.011	0.009	0.011	0.018	0.009	0.007	0.01	0.009	0.011	0.009	0.009	0.01	0.006	0.009	0.014	0.012	0.013	0.015	0.018	0.013	0.016	0.026	0.016	0.011	0.017	0.017	0.012	0.026	0.013	0.012	0.01	0.016	0.017	0.013	0.014	0.009	0.009	2.739
Dirty Conditions	0.013	0.01	0.016	0.008	0.006	0.009	0.009	0.009	0.013	0.019	0.028	0.018	0.02	0.018	0.019	0.016	0.017	0.02	0.019	0.018	0.018	0.017	0.015	0.016	0.017	0.024	0.025	0.023	0.025	0.025	0.023	0.022	0.021	0.022	0.023	0.025	0.019	0.02	0.02	0.015	0.018	0.012	0.013	0.013	0.016	0.012	0.012	0.012	0.017	0.017	0.011	0.014	0.011	0.015	0.012	0.007	0.014	0.016	0.008	0.015	0.013	0.014	0.017	0.015	0.017	0.015	0.016	0.016	0.016	0.016	0.015	0.017	0.016	0.019	0.02	0.02	0.02	0.02	0.019	0.024	0.021	0.02	0.02	0.023	0.022	0.02	0.024	0.021	0.022	0.019	0.02	0.017	0.016	0.018	0.012	0.011	0.016	0.012	0.011	0.014	0.014	0.011	0.01	0.014	0.013	0.008	0.015	0.015	0.013	0.016	0.01	0.02	0.023	0.019	0.011	0.011	0.019	0.018	0.017	0.018	0.018	0.017	0.015	0.015	0.017	0.016	0.018	0.018	0.017	0.017	0.017	0.021	0.021	0.021	0.024	0.021	0.02	0.02	0.023	0.019	0.018	0.022	0.02	0.017	0.018	0.017	0.018	0.012	0.014	0.011	0.011	0.012	0.015	0.01	0.01	0.011	0.007	0.006	0.016	0.019	0.015	0.014	0.017	0.017	0.018	0.014	0.015	0.015	0.015	0.017	0.019	0.016	0.019	0.015	0.017	0.016	0.017	0.017	0.02	0.02	0.02	2.996
Building/Use	0.01	0.01	0.01	0.01	0.009	0.009	0.007	0.008	0.01	0.009	0.01	0.01	0.011	0.012	0.012	0.012	0.012	0.014	0.016	0.017	0.013	0.015	0.015	0.014	0.015	0.015	0.014	0.015	0.014	0.014	0.016	0.017	0.014	0.014	0.016	0.013	0.014	0.014	0.015	0.012	0.014	0.012	0.014	0.015	0.012	0.011	0.012	0.012	0.012	0.013	0.012	0.011	0.008	0.011	0.011	0.009	0.012	0.012	0.007	0.013	0.011	0.013	0.013	0.013	0.013	0.013	0.013	0.015	0.015	0.013	0.013	0.014	0.014	0.013	0.015	0.012	0.013	0.014	0.013	0.016	0.015	0.015	0.016	0.016	0.015	0.015	0.015	0.015	0.016	0.016	0.015	0.017	0.015	0.015	0.012	0.013	0.015	0.015	0.012	0.011	0.012	0.011	0.008	0.01	0.018	0.01	0.012	0.012	0.013	0.015	0.012	0.011	0.013	0.012	0.01	0.011	0.012	0.013	0.012	0.015	0.014	0.014	0.014	0.015	0.016	0.013	0.015	0.013	0.014	0.014	0.014	0.016	0.015	0.016	0.015	0.015	0.015	0.015	0.015	0.015	0.013	0.014	0.015	0.016	0.014	0.014	0.013	0.011	0.013	0.01	0.011	0.012	0.012	0.011	0.01	0.008	0.008	0.007	0.011	0.013	0.012	0.014	0.013	0.013	0.014	0.011	0.012	0.013	0.013	0.013	0.015	0.012	0.014	0.012	0.014	0.015	0.014	0.013	0.015	0.015	0.016	2.357
Request Large Bulky Item Collection	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.065	0.065	0.064	0.068	0.066	0.061	0.065	0.056	0.06	0.053	0.066	0.068	0.075	0.062	0.058	0.053	0.034	0.022	0.049	0.068	0.067	0.06	0.057	0.068	0.078	0.054	0.067	0.065	0.074	0.08	0.077	0.069	0.083	0.087	0.082	0.078	0.088	0.094	0.097	0.092	0.087	2.818
PAINT/PLASTER	0.034	0.032	0.037	0.033	0.032	0.033	0.031	0.032	0.038	0.033	0.03	0.033	0.038	0.035	0.036	0.033	0.033	0.032	0.032	0.033	0.027	0.034	0.033	0.033	0.031	0.036	0.033	0.035	0.036	0.036	0.033	0.035	0.038	0.039	0.034	0.036	0.04	0.039	0.036	0.035	0.038	0.037	0.036	0.035	0.039	0.036	0.033	0.033	0.035	0.033	0.029	0.026	0.028	0.032	0.034	0.025	0.031	0.028	0.024	0.031	0.03	0.031	0.028	0.031	0.028	0.026	0.027	0.027	0.026	0.026	0.022	0.026	0.024	0.027	0.031	0.027	0.025	0.028	0.023	0.032	0.03	0.031	0.033	0.031	0.032	0.035	0.032	0.029	0.029	0.026	0.03	0.03	0.03	0.031	0.029	0.029	0.028	0.03	0.028	0.032	0.032	0.029	0.026	0.03	0.029	0.027	0.031	0.029	0.029	0.03	0.029	0.032	0.029	0.025	0.024	0.026	0.028	0.032	0.026	0.026	0.027	0.027	0.027	0.028	0.025	0.025	0.026	0.023	0.021	0.021	0.021	0.027	0.024	0.026	0.028	0.03	0.028	0.031	0.026	0.025	0.024	0.023	0.026	0.026	0.025	0.025	0.023	0.024	0.024	0.024	0.025	0.024	0.025	0.023	0.024	0.022	0.02	0.024	0.023	0.028	0.027	0.028	0.025	0.026	0.024	0.023	0.027	0.024	0.026	0.027	0.023	0.025	0.023	0.023	0.021	0.022	0.022	0.019	0.021	0.015	0.007	5.207
Street Light Condition	0.022	0.03	0.034	0.03	0.025	0.038	0.027	0.025	0.036	0.035	0.039	0.039	0.039	0.038	0.046	0.041	0.031	0.034	0.035	0.039	0.033	0.038	0.039	0.035	0.039	0.033	0.033	0.036	0.037	0.038	0.037	0.038	0.035	0.039	0.036	0.031	0.04	0.049	0.045	0.039	0.031	0.031	0.036	0.042	0.035	0.036	0.037	0.024	0.041	0.047	0.048	0.033	0.027	0.038	0.027	0.027	0.043	0.037	0.024	0.039	0.039	0.047	0.036	0.031	0.038	0.038	0.036	0.035	0.04	0.032	0.034	0.038	0.032	0.023	0.034	0.032	0.029	0.029	0.023	0.033	0.033	0.036	0.035	0.033	0.031	0.028	0.039	0.03	0.031	0.036	0.037	0.041	0.022	0.037	0.032	0.034	0.035	0.03	0.033	0.025	0.03	0.031	0.028	0.032	0.024	0.029	0.035	0.035	0.034	0.036	0.026	0.029	0.033	0.032	0.022	0.029	0.038	0.028	0.036	0.033	0.036	0.036	0.033	0.039	0.034	0.03	0.029	0.028	0.028	0.021	0.018	0.027	0.028	0.026	0.027	0.026	0.032	0.032	0.026	0.024	0.032	0.033	0.033	0.026	0.026	0.033	0.032	0.029	0.031	0.023	0.03	0.02	0.032	0.031	0.03	0.021	0.013	0.014	0.027	0.03	0.03	0.031	0.031	0.025	0.029	0.03	0.023	0.026	0.025	0.028	0.028	0.027	0.025	0.028	0.025	0.027	0.025	0.021	0.025	0.026	0.023	5.777
HEAT/HOT WATER	0.304	0.362	0.201	0.245	0.255	0.226	0.352	0.285	0.178	0.121	0.111	0.132	0.109	0.1	0.079	0.053	0.106	0.04	0.025	0.029	0.028	0.019	0.017	0.019	0.016	0.016	0.016	0.016	0.015	0.013	0.012	0.013	0.014	0.016	0.014	0.014	0.016	0.017	0.018	0.157	0.04	0.228	0.137	0.088	0.089	0.212	0.217	0.183	0.153	0.082	0.18	0.148	0.323	0.214	0.273	0.239	0.133	0.173	0.367	0.147	0.128	0.116	0.078	0.114	0.106	0.117	0.098	0.049	0.042	0.099	0.055	0.042	0.022	0.017	0.014	0.015	0.013	0.013	0.012	0.014	0.013	0.013	0.012	0.015	0.015	0.013	0.016	0.016	0.016	0.014	0.017	0.033	0.09	0.062	0.223	0.163	0.135	0.174	0.233	0.142	0.174	0.251	0.31	0.168	0.172	0.287	0.15	0.131	0.155	0.149	0.203	0.124	0.092	0.206	0.25	0.132	0.111	0.088	0.067	0.058	0.072	0.026	0.068	0.054	0.022	0.024	0.018	0.017	0.017	0.016	0.015	0.013	0.016	0.013	0.013	0.012	0.013	0.016	0.014	0.013	0.014	0.015	0.014	0.021	0.015	0.065	0.024	0.14	0.157	0.269	0.168	0.167	0.13	0.231	0.212	0.244	0.442	0.375	0.196	0.127	0.141	0.167	0.117	0.09	0.095	0.125	0.126	0.153	0.108	0.095	0.1	0.087	0.071	0.048	0.025	0.031	0.029	0.015	0.019	0.015	0.015	18.432
